2001:12ff:0:2::95                       # lovecam.com.br
2001:1600:4:9:f816:3eff:fe10:7e5e       # madskis.com
2001:19f0:4400:2c64:5400:4ff:fe99:3781  # statcounters.info
2001:19f0:6001:5b32:5400:3ff:fe01:d2a4  # 51network.com
2001:1b60:3:34:3329:101:0:1             # stats.agrar.nu
2001:41d0:1004:607:0:93:c8c:1           # krum.vsct.fr
2001:41d0:1:1b00:213:186:33:19          # interclics.com
2001:41d0:1:1b00:213:186:33:40          # email-match.com
2001:41d0:203:879f::29                  # exoclick.com
2001:41d0:203:bf44::                    # es.ylilauta.org
2001:41d0:20c:6a00::11:21               # ackcdn.net
2001:41d0:2:7a98::1                     # i-reklama.sk
2001:41d0:301:100:54:38:250:124         # rs.smc.tf
2001:41d0:301:100:54:38:64:245          # mediego.com
2001:41d0:301:5::23                     # stats.prebytes.com
2001:41d0:301::20                       # pagerank.fr
2001:41d0:301::28                       # dev2pub.com
2001:41d0:302:2200::2943                # tracker.novage.com.ua
2001:41d0:302:2200::2e                  # tinyclues.com
2001:41d0:304:100::45d1                 # analytics.cookiefirst.dev
2001:41d0:305:1000::666                 # stats.macg.io
2001:41d0:c:926:0:b1:c8c:1              # krum.vsct.fr
2001:470:1f07:135:e63d:1aff:fe85:29d0   # tracker.financialcontent.com
2001:470:1f0a:716::2                    # livecounter.theyosh.nl
2001:470:1f15:f0::1                     # smart-ip.net
2001:4860:4802:32::15                   # afm01.com
2001:4860:4802:32::35                   # tracking-api-4lasu2nlcq-ew.a.run.app
2001:4860:4802:32::36                   # region1.analytics.google.com
2001:4860:4802:34::15                   # afm01.com
2001:4860:4802:34::35                   # tracking-api-4lasu2nlcq-ew.a.run.app
2001:4860:4802:34::36                   # region1.analytics.google.com
2001:4860:4802:36::15                   # afm01.com
2001:4860:4802:36::35                   # tracking-api-4lasu2nlcq-ew.a.run.app
2001:4860:4802:36::36                   # us-central1-markuphero.cloudfunctions.net
2001:4860:4802:38::15                   # afm01.com
2001:4860:4802:38::35                   # tracking-api-4lasu2nlcq-ew.a.run.app
2001:4998:24:607::1007                  # ad.apps.fm
2001:4998:58:207::6000                  # analytics.query.yahoo.com
2001:4998:58:210::2000                  # beap-bc.yahoo.com
2001:4998:58:210::2001                  # beap-bc.yahoo.com
2001:4b98:dc5:253::11                   # weborama.fr
2001:678:25c:2215::550                  # megaad.nz
2001:678:25c:2215::552                  # megaad.nz
2001:67c:218:0:195:8:218:60             # kantartns.lt
2001:67c:21e0::30                       # click.vgnett.no
2001:67c:25c4::84                       # pixel6.wp.pl
