2001:1600:13:102:f816:3eff:febf:4299    # 1web.me
2001:1600:4:9:f816:3eff:fe10:7e5e       # madskis.com
2001:240:2405:da28:4ff0:f8ed:45ed:8be6  # shenajou.com
2001:41d0:1000:10c5:0:52:c8c:1          # krum.vsct.fr
2001:41d0:1004:218d::1                  # aninter.net
2001:41d0:1004:606:0:92:c8c:1           # krum.vsct.fr
2001:41d0:1:1b00:213:186:33:19          # interclics.com
2001:41d0:202:100:145:239:192:227       # stats.ksearchnet.com
2001:41d0:203:879f::29                  # exoclick.com
2001:41d0:2:7a98::1                     # i-reklama.sk
2001:41d0:2:aa3e::1                     # adstean.com
2001:41d0:301:100:145:239:193:91        # stats.ksearchnet.com
2001:41d0:301:100:54:38:250:124         # rs.smc.tf
2001:41d0:301:5::23                     # stats.prebytes.com
2001:41d0:301::31                       # ico.re
2001:41d0:302:1100::91e                 # sexadvertentiesite.nl
2001:41d0:304:100::45d1                 # analytics.cookiefirst.dev
2001:41d0:305:1000::1cf8                # stats.macg.io
2001:41d0:801:2000::2d43                # linkx.ix.tc
2001:41d0:a:2c3e::1                     # proxy.dzeio.com
2001:41d0:b00:f00::21                   # ackcdn.net
2001:470:1:3a::14                       # ad.keenspace.com
2001:470:1f07:135:e63d:1aff:fe85:8ac0   # ads.financialcontent.com
2001:470:1f0a:716::2                    # livecounter.theyosh.nl
2001:4860:4802:32::15                   # ad.unique1static.jp
2001:4860:4802:32::181                  # analytics.google.com
2001:4860:4802:32::1b                   # merchant-center-analytics.goog
2001:4860:4802:32::35                   # impression-tracker-service-5eimuebuhq-lz.a.run.app
2001:4860:4802:34::15                   # ad.unique1static.jp
2001:4860:4802:34::181                  # analytics.google.com
2001:4860:4802:34::35                   # impression-tracker-service-5eimuebuhq-lz.a.run.app
2001:4860:4802:36::15                   # ad.unique1static.jp
2001:4860:4802:36::181                  # analytics.google.com
2001:4860:4802:36::35                   # impression-tracker-service-5eimuebuhq-lz.a.run.app
2001:4860:4802:36::36                   # asia-northeast1-affiliate-pr.cloudfunctions.net
2001:4860:4802:38::15                   # ad.unique1static.jp
2001:4860:4802:38::181                  # analytics.google.com
2001:4860:4802:38::35                   # impression-tracker-service-5eimuebuhq-lz.a.run.app
2001:4998:124:1507::a000                # adtech.yahooinc.com
2001:4998:14:800::1000                  # ads.yahoo.com
2001:4998:14:800::1001                  # ads.yahoo.com
2001:4998:58:207::6000                  # 3p-udc.yahoo.com
2001:678:25c:2215::550                  # megaad.nz
2001:67c:2f5c:2::389                    # afilliatetraff.com
2001:67c:2f5c:2::81d                    # advertising-cdn.com
2001:67c:68::21                         # ad.lupa.cz
2001:67c:68::24                         # ia.iinfo.cz
2001:780:12e::62:18                     # ub.finanzfrage.net
2001:780:12e::62:19                     # ub.finanzfrage.net
2001:7f0:3000:512::548:251              # superclix.de
2001:8d8:100f:f000::200                 # waiads.com
2001:8d8:100f:f000::20f                 # its-that-easy.com
2001:8d8:100f:f000::289                 # cerineas.com
2001:8d8:100f:f000::297                 # additionalmedia.com
2001:8d8:100f:f000::2ac                 # ultrasonica.info
2001:8d8:100f:f000::2f7                 # revenuemakerdata.com
2001:a88:8:10::80                       # idhad.com
2001:a88:8:10::90                       # idhad.com
2001:bc8:1210:9af::                     # ss.esade.edu
2001:bc8:1640:7b::                      # tr.wbstraining.de
2001:bc8:5090:13::                      # sgtm.tennis-point.de
2001:bc8:5090:1c::                      # tagging.src-reizen.nl
2001:bc8:710:3867:dc00:ff:fe7d:82e1     # webstats.indigo-net.com
2001:df0:13::1110                       # log.baomoi.com
2001:df0:13::1111                       # log.baomoi.com
2001:df0:13::1118                       # log.baomoi.com
2001:df0:13::1190                       # log.baomoi.com
2001:df0:13::1191                       # log.baomoi.com
2001:df0:1a:1010::62                    # log.zalo.video
2001:df0:1a:1019::3a                    # mplaylist-ads.zadn.vn
2001:df0:1a:1019::3f                    # mplaylist-ads.zascdn.me
2001:df0:1a:33d::e                      # log.baophapluat.vn
2001:df0:27b:2::5:e5f7                  # ibikini.cyou
2001:df7:5300:9::42                     # kumpulblogger.com
2001:ee0:37f:fff3::325                  # zalo-ads-480.zadn.vn
2001:ee0:37f:fff3::326                  # adtima-common.zadn.vn
